block,spp,n.ppm,shade.cover,stem.wt,leaves.wt,roots.wt,nod.wt,n.root,c.root,n.stem,c.stem,n.leaf,c.leaf
one,Cotton,70,50,0.6315,0.9012,0.2551,0,0.9507,43.6783,1.1398,39.2575,2.9885,38.242
one,Soybean,630,50,0.7522,1.0431,0.2082,0.009,2.8169,36.6402,2.5544,39.2817,4.8774,42.7834
one,Soybean,210,50,0.8174,1.0813,0.3405,0.0008,3.1152,42.76,2.0427,38.395,5.3074,42.4408
one,Soybean,0,50,0.5494,0.7892,0.1741,0.0678,1.4595,41.3356,1.7191,39.9037,3.7938,42.5481
one,Soybean,0,50,0.6312,0.6526,0.1455,0.083,1.8945,44.47,1.5047,39.1376,4.4921,41.6022
one,Cotton,0,50,0.3009,0.4376,0.1634,0,1.4508,41.7142,1.5608,37.5379,3.4606,36.0275
one,Cotton,630,50,1.4597,2.1581,0.2274,0,1.5837,42.4297,2.3063,37.4348,4.3729,35.393
one,Cotton,210,50,1.665,1.8709,0.511,0,1.2122,42.6218,1.4106,40.0941,3.7244,35.1546
one,Cotton,210,50,0.6514,1.0465,0.147,0,1.9519,43.1053,2.7019,35.3879,4.034,36.7562
one,Soybean,70,50,0.3788,0.4866,0.0379,0.0009,1.2077,43.174,1.3394,39.1944,4.7069,44.2644
one,Cotton,0,50,0.7211,0.7513,0.1613,0,0.9052,44.1722,0.6116,39.3491,2.9988,40.1768
one,Cotton,70,50,0.5118,0.5946,0.1315,0,0.9561,43.6576,1.5384,38.2898,3.7882,37.2269
one,Cotton,630,50,0.6767,1.1511,0.1627,0,1.7773,43.4026,3.4985,32.7381,3.9665,34.8165
one,Soybean,210,50,1.2021,1.5268,0.3999,0.0224,1.5526,42.6275,1.8476,39.2192,4.2627,40.6399
one,Soybean,0,50,0.504,0.5582,0.1105,0.0441,1.8768,40.1908,1.3254,38.4283,5.3717,41.7308
one,Soybean,0,50,0.3669,0.5491,0.0815,0.0036,1.5025,42.7163,1.5578,39.0078,4.0915,42.482
one,Cotton,630,50,0.6003,0.803,0.1823,0,1.6093,41.943,3.8355,34.4324,4.2908,34.931
one,Soybean,210,50,1.2689,1.5112,0.4453,0.0334,2.4293,41.541,2.2213,38.3256,5.8855,43.6263
one,Cotton,0,50,0.7328,1.0049,0.4762,0,0.8619,43.3332,0.7253,39.7116,2.3247,35.1362
one,Soybean,630,50,0.1308,0.1619,0.0266,0,2.8051,38.2001,2.6708,38.0001,5.5493,42.7829
one,Soybean,210,50,0.7114,0.9999,0.1762,0.0061,2.3569,38.8792,2.1165,39.1918,4.4297,41.7838
one,Soybean,630,50,1.5812,1.8608,0.3882,0.0008,1.613,48.42,1.8422,39.9612,4.9597,42.8921
one,Soybean,70,50,0.5371,0.5287,0.136,0.0457,1.701,35.8759,1.6544,38.2256,4.6784,41.6474
one,Cotton,210,50,0.9221,0.9916,0.3741,0,1.1966,42.6381,2.6487,36.5591,4.5042,37.6913
one,Cotton,70,50,1.0403,1.1358,0.3551,0,0.9952,42.1613,1.0486,40.0785,3.1301,35.5757
one,Cotton,630,50,1.0312,1.0264,0.5302,0,1.2213,42.8837,2.2296,38.3097,4.0574,33.7114
one,Soybean,70,50,0.8,0.8,0.3361,0.0092,1.6034,44.5,1.5256,39.455,5.0982,43.4808
one,Cotton,70,50,0.3963,0.5003,0.1665,0,1.2222,42.4188,0.6805,38.6088,2.8339,36.3303
one,Cotton,0,50,0.6742,0.6024,0.3108,0,0.6256,42.9946,0.647,40.9248,2.1101,35.4436
one,Soybean,630,50,0.6147,0.7204,0.1982,0.0017,2.9238,38.3585,2.674,37.4119,5.7441,42.1576
one,Cotton,210,50,0.6324,1.1527,0.136,0,1.6798,41.4851,2.7821,43.5317,4.4988,38.852
one,Soybean,70,50,0.4862,0.7105,0.2272,0.0277,1.6902,40.0259,1.452,39.1005,3.806,42.0911
three,Cotton,630,80,0.3077,0.3538,0.0784,0,1.8203,40.5422,3.6177,33.7465,4.5877,31.229
three,Soybean,0,80,0.6479,1.5181,0.2236,0.0405,1.6064,46.43,1.9265,NA,3.3848,42.9233
three,Cotton,70,80,0.2381,0.3966,0.0728,0,1.7094,42.4069,1.6603,39.1463,4.2683,36.4739
