block,spp,n.ppm,shade.cover,stem.wt,leaves.wt,roots.wt,nod.wt,n.root,c.root,n.stem,c.stem,n.leaf,c.leaf
three,Soybean,630,80,0.6291,0.6411,0.2149,0.0048,1.4773,32.2722,2.0962,40.4041,4.544,41.2013
three,Cotton,630,80,0.2645,0.417,0.0607,0,2.1291,44.3447,3.6612,32.8754,4.5828,35.5103
three,Cotton,210,80,0.3461,0.5376,0.1227,0,1.9865,42.1621,2.5791,35.3451,4.0256,32.839
three,Soybean,210,80,0.7986,1.0451,0.2022,0.0037,2.0429,46.42,1.878,38.7968,5.1364,42.2029
three,Soybean,70,80,0.1967,0.2174,0.0534,0.002,1.3799,42.7079,1.9831,39.1045,4.6334,42.265
three,Soybean,210,80,0.4584,0.4503,0.1089,0.009,1.7441,40.8432,2.1206,39.7988,5.0292,41.7233
three,Soybean,0,80,0.4535,0.4343,0.1576,0.0395,1.1205,43.7875,1.4169,48.2197,3.4353,41.3795
three,Cotton,0,80,0.4741,0.6824,0.1285,0,0.918,43.234,1.1482,39.0736,3.1817,36.197
three,Cotton,210,80,0.1846,0.2116,0.7814,0,0.9534,42.8653,2.7152,35.4995,4.0642,32.7738
three,Soybean,210,80,0.4354,0.5367,0.0854,0.0063,2.376,40.3647,2.1164,37.9031,5.0939,42.7006
three,Soybean,0,80,0.2207,0.2885,0.067,0.0369,1.7355,38.8301,1.6021,38.2171,4.0064,42.3079
three,Cotton,70,80,0.1681,0.103,0.0987,0,1.5802,42.556,2.6374,34.7288,3.7924,35.275
three,Cotton,0,80,0.5142,0.5458,0.1983,0,0.9799,43.2232,0.7672,38.9076,3.0391,39.9706
three,Soybean,630,80,0.6274,0.5968,0.1429,0,3.1796,37.5514,2.6189,46.933,5.3193,42.1244
three,Cotton,210,80,0.3054,0.202,0.0641,0,2.0439,42.989,3.3863,35.7701,4.3696,34.8695
three,Soybean,630,80,0.5461,0.6835,0.198,0.002,2.2633,40.4329,2.3279,38.7774,4.5988,41.7498
three,Soybean,70,80,0.4672,0.4695,0.2403,0.0167,1.7634,40.6755,1.2952,39.4045,4.0167,43.0001
three,Soybean,210,80,0.5916,0.5293,0.1944,0.0085,2.3613,39.8186,2.1683,40.2186,5.3216,42.4956
three,Cotton,0,80,0.3297,0.4071,0.2327,0,1.2268,43.2309,1.7398,37.8744,3.3691,34.6871
three,Cotton,0,80,0.1857,0.2897,0.0541,0,1.5495,42.8458,1.85,36.6073,3.4136,31.8455
three,Cotton,70,80,0.2734,0.4603,0.069,0,1.4991,43.4044,2.5673,35.7503,3.922,33.8973
three,Soybean,630,80,0.8367,1.972,0.1612,0.0041,2.7357,42.76,2.204,38.3854,5.2391,42.8654
three,Soybean,70,80,0.5684,1.0401,0.1899,0.0259,1.8591,39.06,1.2454,39.7224,4.479,42.9219
three,Cotton,210,80,0.2482,0.2052,0.129,0,1.5048,41.8771,2.9044,36.2609,4.1055,32.5164
three,Cotton,630,80,0.3068,0.3493,0.1808,0,1.5701,43.8218,3.1443,42.3999,3.7216,32.8558
three,Soybean,0,80,0.2433,0.2916,0.0813,0.0295,1.1,41.8419,1.3457,39.7447,3.2903,41.6472
three,Cotton,630,80,0.317,0.4944,0.0662,0,1.7728,41.4297,3.0729,34.6329,3.8989,31.5244
three,Soybean,70,80,0.6153,0.5283,0.118,0.0287,2.0585,39.7753,1.5783,40.0447,4.7365,42.4383
three,Soybean,70,0,0.5614,0.6769,0.38,0.0615,1.1317,43.7024,0.9318,41.1077,2.8442,40.9667
three,Soybean,0,0,0.2204,0.3783,0.1717,0.0838,1.5933,48.86,1.6245,38.685,5.1761,43.9157
three,Soybean,0,0,0.3981,0.717,0.3234,0.116,1.7022,40.755,1.1796,29.1734,4.5763,40.8896
three,Soybean,210,0,0.6272,0.9506,0.4268,0.0235,1.8811,41.2721,1.4496,40.1121,4.5396,43.4731
three,Soybean,0,0,0.7324,1.1399,0.3102,0.1172,1.4207,41.3283,1.2268,40.5503,4.4089,43.3212
three,Cotton,630,0,1.4167,2.0433,0.5871,0,1.1523,43.0726,1.5608,39.3444,3.456,39.028
three,Cotton,70,0,1.4723,1.5205,0.9088,0,1.2292,43.5584,0.7894,42.9488,2.9841,41.8855
three,Cotton,0,0,0.6168,0.5271,0.2286,0,1.2243,43.6488,0.562,40.4751,2.901,37.9243
three,Cotton,210,0,1.3411,1.8715,0.5652,0,1.409,41.9181,1.7351,37.9571,3.9261,36.2387
three,Soybean,210,0,1.1038,1.534,0.9673,0.0146,1.6569,44.82,2.1473,39.0769,4.661,42.4883
three,Cotton,630,0,1.3087,1.8322,0.7624,0,1.373,41.8179,1.3136,41.3195,3.7901,38.1812
three,Cotton,70,0,1.0591,1.1858,0.4244,0,1.0101,43.0289,0.7404,40.2236,2.9238,38.4852
three,Cotton,0,0,0.9668,0.9221,0.3822,0,0.8514,42.7656,NA,NA,2.2739,38.9024
three,Cotton,630,0,1.1932,1.4083,1.3415,0,1.352,42.6998,1.2318,48.4773,3.8072,40.8914
three,Cotton,630,0,1.2786,1.771,0.8566,0,1.6073,41.4493,2.1978,38.8727,4.955,44.311
three,Soybean,70,0,1.2033,1.5661,1.0503,0.108,1.5075,41.5586,1.5312,39.1106,4.0696,40.635
three,Cotton,0,0,0.8663,0.9207,0.5648,0,1.0506,42.0238,0.9904,40.0743,3.0593,38.2506
three,Cotton,210,0,1.1777,1.8186,0.3618,0,1.0231,42.4799,2.1763,36.7623,4.0782,40.8862
three,Cotton,0,0,1.02,1.1198,0.7062,0,0.9824,43.2525,0.859,41.3153,4.8021,50.4862
three,Cotton,210,0,0.9126,1.5068,0.5338,0,1.4426,42.5225,2.4751,37.8105,3.4914,38.2411
three,Soybean,210,0,0.6016,0.7397,0.285,0.0238,1.3919,42.4843,1.4832,40.1695,4.9596,43.3864
three,Cotton,70,0,1.2147,1.0462,0.6508,0,1.0153,42.6152,0.6932,41.0839,2.4442,38.8705
three,Soybean,0,0,0.5705,0.714,0.3895,0.0989,1.061,44.5138,1.1557,41.0637,4.1061,43.1825
three,Soybean,630,0,0.712,0.9647,0.1584,0.0051,2.4511,39.79,1.5567,39.7837,4.519,42.9625
three,Soybean,70,0,0.6758,1.0013,0.4821,0.1424,1.8061,51.59,1.0927,34.3044,3.9648,42.3504
three,Soybean,630,0,1.4336,1.5937,1.0712,0.0373,1.7472,42.6637,1.521,40.8456,5.0057,44.2264
three,Cotton,70,0,1.5627,2.0372,0.4603,0,1.1656,42.9501,1.7872,37.8813,3.5811,36.1067
three,Soybean,70,0,0.4632,0.6568,0.1119,0.0147,1.9186,41.3582,1.1619,40.1624,4.3441,43.0156
three,Soybean,210,0,1.2095,1.7975,0.9971,0.0314,1.9471,41.2052,1.8767,38.8989,4.0702,41.811
three,Soybean,630,0,1.3983,1.8463,0.9911,0.0251,1.8765,47.74,1.3253,40.2027,3.9706,40.7969
three,Soybean,630,0,1.7719,2.5954,1.3978,0.0974,1.4781,41.3783,1.2544,40.3722,3.7527,42.1873
three,Cotton,210,0,0.8692,1.2802,0.5849,0,1.1532,43.7314,1.3418,46.9461,3.6381,38.1371
three,Cotton,70,30,1.0172,1.1074,0.3818,0,0.9649,43.3241,0.858,39.9931,3.5706,38.4616
three,Soybean,0,30,0.3069,0.5729,0.2495,0.0786,1.6904,40.7116,1.3647,39.1873,4.1877,43.1888
three,Cotton,630,30,0.7031,1.1914,0.2307,0,1.7984,42.4247,2.9862,35.8463,4.6641,38.5496
three,Cotton,0,30,0.7742,0.785,0.3541,0,0.8865,42.8351,0.4379,28.0117,2.3592,41.0196
three,Cotton,70,30,1.2351,1.03,0.3637,0,1.0258,43.5364,0.7468,40.2963,3.2439,38.2102
three,Cotton,210,30,0.7809,1.2294,0.22,0,1.662,42.8038,2.1918,37.4622,3.8093,35.2105
three,Soybean,0,30,0.9946,1.3096,0.7258,0.1506,1.5788,42.0821,1.6724,46.2836,4.4404,42.2062
three,Soybean,210,30,1.1472,0.9815,0.7183,0.0151,2.2439,41.6577,1.5702,39.9915,4.5962,42.3708
three,Soybean,70,30,0.7476,0.5617,0.375,0.119,1.677,41.4091,1.685,40.2973,5.1871,44.2123
three,Cotton,630,30,0.436,0.712,0.1444,0,1.503,42.4496,2.824,33.2488,4.592,35.0586
three,Cotton,0,30,0.6457,0.7286,0.2551,0,0.922,42.7127,0.7148,40.7664,2.0711,36.2861
three,Cotton,0,30,0.6353,0.6147,0.409,0,0.9442,43.7966,1.0431,47.5307,2.2614,36.6747
three,Soybean,210,30,1.0295,1.6174,0.7462,0.0378,1.508,41.0375,1.682,40.7765,3.7646,40.9659
three,Soybean,70,30,0.8869,1.5617,0.8178,0.1769,1.6829,42.0488,1.304,39.7011,4.7689,44.0169
three,Soybean,630,30,1.396,0.8523,0.8664,0.0114,1.6749,41.9252,2.1542,39.4913,4.4544,42.0496
three,Cotton,70,30,1.1135,0.9633,0.687,0,0.8325,43.224,0.6858,40.5382,2.6797,38.2028
three,Soybean,630,30,1.1505,1.58,0.8349,0.012,2.112,40.573,2.5543,46.6395,3.5682,38.6516
three,Soybean,70,30,1.0836,1.2785,0.8079,0.1212,1.0163,44.1381,0.9787,40.3976,3.1655,41.0566
three,Soybean,0,30,0.6284,0.9359,0.3841,0.1276,1.1159,43.508,1.1585,40.9438,3.8195,41.838
three,Cotton,70,30,1.0342,1.2531,0.5946,0,0.9262,42.6277,0.9803,39.3462,2.665,35.953
three,Cotton,210,30,0.5508,0.8317,0.1355,0,1.9605,43.0826,2.4969,35.7943,4.3147,37.8384
three,Soybean,630,30,0.7619,1.2412,0.3088,0.0138,2.3658,39.7016,2.4447,39.7023,5.7828,43.9443
three,Cotton,210,30,0.596,1.0318,0.2689,0,1.6591,40.7894,3.2482,35.2295,4.2585,34.8292
three,Soybean,210,30,0.7204,1.0964,0.3543,0.0078,1.2485,44.1569,2.2185,38.8422,5.1892,43.4991
three,Soybean,0,30,0.6706,0.4204,0.3821,0.1478,1.4179,42.1127,1.5201,39.0936,4.2596,43.5583
three,Cotton,630,30,1.0712,1.8671,0.5175,0,1.4103,42.5853,1.8157,38.7988,4.0558,37.1232
three,Cotton,210,30,0.815,0.94,0.4165,0,1.0047,42.8076,1.4939,46.8292,3.7343,38.6664
three,Soybean,630,30,1.1882,1.5353,0.345,0.0144,1.9171,43.1676,2.9366,39.4256,4.5198,42.0055
three,Cotton,0,30,0.6625,0.5979,0.302,0,0.9093,42.8221,0.6029,41.0688,2.4591,38.2649
three,Soybean,210,30,1.6781,2.0572,1.0908,0.0656,2.1555,40.533,1.4151,39.6339,4.3148,42.2283
three,Soybean,70,30,1.22,1.5552,0.8217,0.1911,1.4887,41.464,1.753,39.5931,4.2764,42.2154
three,Cotton,630,30,1.4157,1.9028,0.4113,0,1.3586,41.6894,2.3483,37.2976,3.9159,36.4807
one,Cotton,0,80,0.4222,0.4435,0.0747,0,1.3305,42.1372,0.9991,37.9186,3.1128,35.1625
one,Soybean,0,80,0.307,0.324,0.0408,0.0057,1.6382,37.9835,1.6595,38.9115,4.4007,42.6771
one,Soybean,630,80,0.403,0.4633,0.1001,0,2.2791,36.2935,2.41,37.6407,5.6188,43.012
one,Soybean,210,80,0.3689,0.4348,0.0667,0.0057,2.6112,37.9562,2.5034,37.2974,4.5136,40.8375
one,Cotton,70,80,0.247,0.3614,0.0445,0,1.7602,42.3119,2.8864,34.0908,3.6406,35.3249
one,Soybean,0,80,0.4275,0.4793,0.1279,0.04,2.0624,45.59,1.6192,40.5653,5.0246,43.1705
one,Cotton,630,80,0.2549,0.366,0.0387,0,1.4394,42.4984,2.6585,34.902,4.0895,32.855
one,Soybean,70,80,0.3387,0.3628,0.0473,0.005,2.0515,42.86,1.6199,39.934,4.8161,42.579
one,Soybean,70,80,0.1573,0.2383,0.0846,0,0.9637,42.1316,2.0664,38.5839,4.5329,41.36
one,Cotton,70,80,0.4733,0.7634,0.0837,0,1.6393,42.9476,2.3338,36.4,4.2546,34.4595
one,Soybean,210,80,0.6247,0.6996,0.1588,0.0053,2.7489,45.94,2.0632,38.7643,4.9886,40.7435
one,Soybean,210,80,0.7521,0.834,0.174,0.0034,2.575,36.727,2.4398,37.3523,5.2096,41.4725
one,Soybean,70,80,0.4396,0.4835,0.0981,0.016,2.2797,40.8251,1.5822,38.4517,4.9457,41.5317
one,Cotton,0,80,0.5182,0.6091,0.151,0,0.764,42.3678,0.9227,39.8661,3.0927,35.4927
one,Cotton,210,80,0.612,0.7626,0.2348,0,1.5766,41.4548,2.4154,36.9808,4.1335,34.8124
one,Soybean,630,80,0.5366,0.6,0.0835,0.0036,3.3367,44.73,2.4202,38.2964,5.1827,41.4425
one,Cotton,630,80,0.6458,0.8044,0.2893,0,1.409,41.1453,2.6904,37.9302,3.9217,34.5954
one,Cotton,0,80,0.3702,0.603,0.2338,0,1.0309,42.6252,1.3007,38.7132,3.48,34.9507
one,Soybean,630,80,0.7188,0.7919,0.1284,0,2.7065,39.0709,2.366,37.9649,5.1157,41.6915
one,Cotton,70,80,0.2797,0.352,0.0654,0,1.2672,41.9919,1.8425,38.6574,4.201,35.7102
one,Soybean,210,80,0.4821,0.6549,0.0806,0.0052,2.0861,40.1385,2.3853,38.3373,4.5216,38.7753
one,Cotton,210,80,0.4236,0.546,0.0747,0,1.8697,40.4079,3.2581,33.7366,3.8642,32.3372
one,Cotton,70,80,0.4739,0.5444,0.1615,0,1.5117,43.6225,2.0836,38.8365,3.7985,33.4118
one,Soybean,0,80,0.5727,0.6075,0.123,0.0502,1.7517,40.4876,1.7407,39.3826,4.5209,42.4985
one,Cotton,210,80,0.4377,0.7727,0.1517,0,1.4541,41.9678,2.5114,36.0454,4.39,32.6033
one,Soybean,0,80,0.3086,0.356,0.107,0.0162,1.7086,41.0784,1.3573,39.6235,5.0846,43.8775
one,Cotton,630,80,0.2667,0.4047,0.0493,0,1.6816,42.6264,3.4613,33.9781,4.4929,33.4386
one,Soybean,70,80,0.384,0.4558,0.1392,0.0084,1.9509,42.096,1.7673,38.4021,5.502,43.4873
one,Cotton,630,80,0.4818,0.5608,0.0965,0,2.0894,40.4149,2.8417,35.6339,3.7826,34.0672
one,Soybean,630,80,0.4961,0.607,0.0557,0.0035,2.2759,40.0673,2.4339,38.1931,5.6868,45.9333
one,Cotton,0,80,0.6147,0.6649,0.1312,0,0.9822,42.6157,0.7687,39.0622,2.7725,36.6326
one,Cotton,210,80,0.206,0.2138,0.0656,0,2.1784,40.8545,4.1284,33.5907,4.7076,31.238
one,Cotton,0,0,0.5221,0.5923,0.1995,0,1.2168,42.4837,0.6042,40.6084,2.0093,38.1171
one,Cotton,630,0,1.0525,1.5765,0.7293,0,1.6135,41.8965,2.392,37.3897,4.297,37.4834
one,Soybean,0,0,0.5864,0.8427,0.4256,0.1105,1.416,40.122,0.9362,39.1519,3.6593,42.8984
one,Soybean,70,0,0.8387,1.2566,0.4547,0.1148,1.7048,43.3317,1.2074,41.0163,4.1223,43.1688
one,Soybean,210,0,0.7074,0.8962,0.4789,0,2.2437,42.7,1.8181,39.8883,4.6151,42.2645
one,Cotton,210,0,1.1627,1.3502,0.538,0,0.9715,41.8568,1.5151,38.1507,3.9695,38.4732
one,Soybean,70,0,0.3556,0.5699,0.2087,0.0433,1.6259,41.3311,1.6378,38.9602,4.5706,43.682
one,Soybean,70,0,1.0013,1.038,0.6795,0.0748,1.5372,38.3461,0.7419,39.9946,3.9017,42.7669
one,Soybean,630,0,1.0918,1.2857,0.7501,0.0213,2.1604,38.6233,1.8428,39.3893,6.1238,49.8466
one,Soybean,630,0,1.4131,1.8715,0.6398,0.0144,1.5518,42.4245,1.477,41.1935,4.3305,43.1036
one,Cotton,210,0,1.3357,1.5162,0.5184,0,1.2778,42.6231,1.7435,38.6632,3.4627,37.8706
one,Soybean,0,0,0.1192,0.2565,0.096,0,1.1183,42.2402,1.6219,41.1566,4.5487,43.4017
one,Cotton,0,0,1.0567,0.9926,0.0935,0,1.6764,42.0302,0.677,41.6186,2.4703,36.9336
one,Cotton,70,0,1.679,1.3291,0.7526,0,0.8091,41.7295,0.5848,41.4776,2.457,37.3802
one,Cotton,630,0,1.1454,1.7038,0.855,0,0.9885,41.8963,1.9821,46.2145,3.8724,37.5085
one,Cotton,70,0,0.9043,1.0015,0.3952,0,1.0143,41.7687,0.6724,40.2285,2.5592,38.5547
one,Soybean,70,0,0.9601,1.2508,0.6674,0.0682,1.6599,41.9915,1.2533,41.7533,4.3213,43.9949
one,Cotton,0,0,0.5971,0.6127,0.557,0,0.7795,41.8077,0.6046,40.7031,1.6447,36.4173
one,Soybean,210,0,0.8072,1.2833,0.5629,0.0145,2.2807,41.925,1.8957,39.3356,4.7326,41.5525
one,Cotton,210,0,0.9154,1.0979,0.7178,0,0.9818,42.6697,1.7661,39.0022,4.1705,36.8924
one,Soybean,210,0,1.3717,NA,0.8622,0.0169,1.3626,42.2627,1.8534,48.4713,4.8606,42.6017
one,Cotton,0,0,1.0732,1.1547,0.7469,0,0.7716,42.9449,0.956,40.0863,2.6715,40.8799
one,Soybean,210,0,1.2728,1.5026,0.7747,0.0394,2.0228,41.5918,1.9858,40.3476,3.9281,43.1475
one,Cotton,630,0,1.2681,1.7241,0.4559,0,1.2424,42.2727,1.5649,39.0319,3.6784,36.8673
one,Soybean,630,0,0.7083,0.8836,0.321,0.0032,1.6948,42.0597,1.7255,40.2909,4.6254,41.6025
one,Soybean,630,0,0.5869,0.7686,0.5081,0.0124,2.0698,40.4627,2.6217,36.656,5.0996,43.9526
one,Cotton,70,0,0.7029,1.1533,0.4729,0,1.1228,42.2272,1.6033,38.2361,4.0294,41.6058
one,Cotton,70,0,1.4222,1.3104,0.7725,0,1.0097,42.637,0.8781,41.2319,2.5201,36.5899
one,Cotton,210,0,0.7557,1.2493,0.5056,0,1.1586,42.4722,2.3685,38.0821,4.1151,37.1888
one,Soybean,0,0,0.7387,1.1764,0.3425,0.1729,1.7613,43.36,1.2243,40.5713,4.0585,43.4938
one,Soybean,0,0,0.4339,0.6742,0.3226,0.0401,1.6298,42.2908,1.348,40.3506,3.6455,42.7069
one,Soybean,0,30,0.9284,1.3467,0.4317,0.1357,1.7192,40.275,1.6314,39.3059,4.7902,42.7273
one,Cotton,210,30,0.3607,0.5192,0.0549,0,1.8801,42.6552,2.5194,35.862,3.5645,36.7617
one,Cotton,0,30,0.5401,0.5263,0.2569,0,0.8071,42.6662,0.7795,39.5664,2.5679,35.7243
one,Cotton,0,30,0.9457,0.9738,0.398,0,0.929,42.7728,0.532,40.2428,2.4291,37.3603
one,Soybean,0,30,0.4071,0.789,0.2155,0.0413,1.4569,41.4177,1.1483,39.3506,3.9083,41.6349
one,Cotton,70,30,0.405,0.6335,0.1718,0,1.531,42.6468,2.7893,35.8953,4.0642,33.276
one,Cotton,630,30,0.6702,0.9647,0.293,0,0.7767,41.9722,2.6531,38.003,3.6818,29.5912
one,Cotton,630,30,0.8613,1.5387,0.1817,0,1.4967,42.6489,2.9871,35.4588,4.229,35.2936
one,Cotton,630,30,1.2771,1.8685,0.2896,0,1.4271,40.808,2.1519,38.2577,3.5908,35.6546
one,Cotton,70,30,0.9866,1.109,0.4924,0,0.9838,43.2226,0.8731,39.6508,3.0931,37.8289
one,Cotton,630,30,0.7167,1.3589,0.3114,0,1.3062,41.8121,2.5178,36.2935,4.4737,38.4669
one,Soybean,210,30,1.1284,1.6815,0.5584,0.0116,1.9635,40.1365,1.4693,40.0844,4.7994,42.2117
one,Soybean,0,30,0.4087,0.6051,0.2032,0.0016,1.4842,41.7538,1.0623,40.1985,3.9831,43.0198
one,Cotton,0,30,0.6426,0.6155,0.0631,0,1.8858,41.5194,0.5702,39.3814,2.851,37.2501
one,Soybean,630,30,1.3439,1.9124,0.6629,0.0175,1.5925,44.27,1.8698,40.9008,4.6603,42.5295
one,Soybean,210,30,1.0252,1.648,0.7693,0.0411,1.7199,41.2281,1.8076,40.1465,4.2336,42.3474
one,Soybean,630,30,1.0089,1.3638,0.6416,0.0052,2.0141,38.9558,1.9148,38.6004,5.1538,41.8609
one,Soybean,210,30,0.8131,1.2051,0.37,0.0186,1.9269,41.351,1.4093,39.0333,6.1753,63.3794
one,Cotton,210,30,0.7344,1.3532,0.2816,0,1.6169,42.246,2.3401,38.4048,4.5431,38.8699
one,Cotton,70,30,1,1.1793,0.2676,0,0.9235,42.1159,0.8691,37.8906,2.5249,35.5187
one,Soybean,70,30,0.9242,1.1914,0.2925,0.1017,1.5589,41.3532,1.0674,38.6961,4.0855,41.7039
one,Soybean,210,30,1.1924,1.7212,0.57,0.0072,2.2932,46.61,1.941,40.0909,4.5955,42.5973
one,Cotton,210,30,0.686,0.8229,0.2728,0,1.5705,42.6179,2.5355,36.213,3.6746,33.2548
one,Soybean,70,30,0.8083,1.1249,0.2421,0.1168,1.551,46.97,1.714,40.265,4.9201,42.8961
one,Soybean,630,30,0.5404,0.8677,0.2058,0.0039,1.8564,40.6632,2.7373,39.3724,5.1052,41.9536
one,Soybean,630,30,0.7476,1.1369,0.4037,0.0077,2.1539,41.6022,2.5598,38.6754,4.6475,42.4438
one,Cotton,210,30,0.4766,0.9248,0.1283,0,1.7791,40.3124,2.0906,37.2776,4.828,38.2641
one,Soybean,70,30,0.4045,0.6014,0.1592,0.024,1.505,41.5778,1.6166,38.9382,3.8839,42.1322
one,Soybean,0,30,0.2246,0.3681,0.1533,0.053,1.704,45.89,1.3216,40.6503,4.6212,43.1706
one,Soybean,70,30,0.4225,0.6257,0.1288,0.0349,1.9621,40.8807,1.5758,40.2773,4.1318,43.3241
one,Cotton,70,30,0.9299,0.9578,0.3595,0,1.144,43.4889,0.7098,39.9425,3.3,39.8037
one,Cotton,0,30,0.7685,0.7934,0.3502,0,0.8822,43.2528,0.6193,42.3297,2.4406,39.2632
two,Soybean,0,50,0.5101,0.4394,0.1594,0.0349,1.6387,40.4551,1.0866,41.148,3.1504,41.8513
two,Soybean,70,50,0.6263,0.8039,0.2058,0.0525,1.8437,41.1696,1.4652,39.6424,4.4152,42.8119
two,Cotton,210,50,1.0327,1.7165,0.3212,0,1.1163,43.2386,1.6275,35.2989,3.7482,34.2363
two,Cotton,630,50,0.6508,1.2029,0.1761,0,1.6854,41.1527,2.5193,36.706,3.6661,34.601
two,Soybean,70,50,0.6642,0.6398,0.2652,0.0185,1.9113,41.5806,1.1647,41.3133,4.281,42.2048
two,Soybean,0,50,0.6924,0.923,0.1706,0.0818,1.865,40.0179,1.757,40.1414,5.258,44.1921
two,Soybean,210,50,1.0733,1.053,0.2981,0.0032,2.1384,39.5901,2.4207,46.8922,5.0413,41.6246
two,Cotton,210,50,1.0627,1.6129,0.342,0,1.5851,41.2474,2.2442,37.7407,3.7769,35.1953
two,Cotton,630,50,1.3567,1.9812,0.4548,0,1.4209,41.8157,2.643,37.3097,3.9555,34.1574
two,Soybean,70,50,1.2464,1.3242,0.2576,0.1078,1.2864,46.93,1.1343,40.5353,4.6965,42.8712
two,Cotton,70,50,0.8326,1.153,0.1842,0,1.3502,42.8889,1.4983,38.6056,3.615,35.7748
two,Soybean,210,50,1.0234,1.2287,0.2579,0.0019,1.8663,49.39,1.8593,40.6753,4.7479,42.3528
two,Soybean,70,50,1.2673,1.3198,0.3434,0.1132,1.5789,41.8358,1.6248,40.6606,4.2481,42.139
two,Cotton,630,50,0.5395,0.7479,0.1056,0,1.7646,42.8828,2.9964,34.2138,3.8313,34.0246
two,Cotton,630,50,0.3042,0.3953,0.1841,0,1.7018,40.6554,2.8389,37.2443,4.4785,35.8634
