"block","spp","rep","n.ppm","shade.cover","chlA","chlB","chlAmoles","chlBmoles","Aamb","TPU","Vcmax","Jmax","Tleaf","TleafK","vcmax25","jmax25","jv25","marea","nmass","narea","chlorophyll_area","tla","biomass","vcmax25_narea","jmax25_narea","chlorophyll_area_narea","chlorophyll_mmol.g","chlorophyll_mmol.m2","chlorophyll_mmol.m2_narea","propN_rubisco","propN_bioenergetics","propN_lightharvesting","propN_photosynthesis"
"one","Cotton",3,630,50,6.4118,2.018546667,2.751845494,0.866329041,13.9773895166667,15.12815688,66.1813181970649,87.7404987952373,24.4261668609091,297.576166860909,69.8462479954996,91.0223564390527,1.3031817606712,46.6056219084714,0.02959015599,1.37906762228263,0.423210174,202.079,1.5856,50.6474424219243,66.0028231888967,0.306881379246293,0.003618174535,0.168627274377069,0.122276291352528,0.39529711158575,0.0524931787148444,0.0444641059463739,0.492254396246969
"one","Cotton",3,0,50,3.343073333,1.177226667,1.816887681,0.639797101,13.12728092,11.69411996,65.4815417382724,75.504572341476,24.64690645,297.79690645,67.6858514204195,77.2258689204226,1.14094551962931,35.8674598793678,0.027288264,0.978760714197596,0.25196767,204.511,1.6337,69.1546467268147,78.9016843445067,0.257435414340846,0.002456684783,0.0881150428905058,0.0900271553734602,0.539743584209285,0.0627518644974444,0.032737147408531,0.635232596115261
"one","Soybean",7,630,50,3.163445333,3.221644333,2.081214035,2.119502851,7.137073665,13.34172962,53.1376399300306,79.8424658398387,27.3290302045455,300.479030204545,42.9340820253871,69.1691288604339,1.6110540996203,23.5495611238321,0.06343012451,1.49375159424053,0.31531307,360.715,1.5333,28.7424510145652,46.3056435401509,0.211088022409988,0.004200716886,0.0989250390707707,0.0662258968975812,0.224331324991729,0.036827673490608,0.0240821443263932,0.28524114280873
"one","Cotton",2,70,50,0.588093333,8.754126667,0.235237333,3.501650667,12.7914180466667,14.19626104,69.6217046456902,86.1861362110782,24.9871985327273,298.137198532727,69.7051028780472,86.2563290189381,1.23744640575093,43.7124606785871,0.03452274655,1.5090742010837,0.49403596,226.239,1.7878,46.1906398161139,57.1584412197858,0.327376851082087,0.003736888,0.163348569760284,0.108244226588049,0.360512310759913,0.0454590898547638,0.0393615369411089,0.445332937555786
"one","Soybean",5,0,50,3.74859,3.877933333,3.231543103,3.343045977,12.9806618533333,17.12637802,82.154806980142,96.1846877341998,27.2999841654545,300.449984165455,66.5518747292296,83.4705612608095,1.25421803067779,20.9335410867825,0.05047432165,1.05660628608775,0.500756621,294.331,1.5127,62.986445950126,78.9987361989602,0.47392924648795,0.00657458908,0.137629430634892,0.130256115685707,0.491601529366837,0.0628290515039131,0.0473658602493481,0.601796441120098
"one","Cotton",1,0,50,2.516313333,2.64324,1.27086532,1.334969697,9.60801805066667,9.584695661,49.9947991146356,58.9112330019655,24.9912218181818,298.141221818182,50.03585601395,58.9441274346113,1.17803775392946,33.629415405371,0.022063029,0.741966767341747,0.273136757,190.59,1.5874,67.4367885683263,79.4430829372468,0.36812532450553,0.002605835017,0.087632708264555,0.118108670255566,0.526335910777181,0.0631824480954117,0.0429486073656605,0.632466966238253
"one","Soybean",6,70,50,3.793408,3.354806,2.598224658,2.297812329,11.621288122,14.20190226,57.0697094807238,80.4451002348615,25.0830334309091,298.233033430909,56.6286136811764,80.0219025900687,1.41310015181721,18.2428115029496,0.0508298504,0.927279379570328,0.407305641,309.549,1.9361,61.0696354613389,86.2975111418398,0.439248030284824,0.004896036986,0.0893174798470676,0.0963220813650083,0.47664105725923,0.0686338925541132,0.0350262114054576,0.580301161218801
"one","Soybean",6,0,50,3.844596667,3.905133333,3.100481183,3.149301075,10.0990554126667,11.65870544,60.6196896073724,67.9563411388959,25.3103627581818,298.460362758182,58.8900157429319,66.6332099665841,1.1314856877854,17.206255679272,0.0480625487,0.826976501529664,0.385750622,296.645,1.4293,71.2112322829037,80.5744901376668,0.466458987996,0.006249782258,0.107535351470926,0.130034349551671,0.555794983671443,0.0640822756709827,0.0472852180187894,0.667162477361215
"one","Cotton",2,0,50,0.39352,7.81276,0.149060606,2.959378788,13.1274249166667,12.00718586,66.1212331852297,76.7116535729721,24.9458196472727,298.095819647273,66.4572180406622,76.9765508127945,1.1582872874049,42.0237966043437,0.02634273812,1.10702186875637,0.398363107,243.336,2.2139,60.032434693743,69.5348059377274,0.359851163055633,0.003108439394,0.130628424850385,0.117999859385916,0.468545831756043,0.0553022252479221,0.0429090397766966,0.566757096780662
"one","Soybean",5,210,50,3.491206667,3.637463333,2.933787115,3.056691877,13.9598353766667,18.33636462,72.6132989420027,95.3443079189665,26.6514914954545,299.801491495455,62.3606209190844,86.0299469507093,1.37955565038932,21.6603591249637,0.05354270441,1.15975420604238,0.475879172,428.59,1.8875,53.7705494786588,74.1794653578222,0.410327610385584,0.005990478992,0.129755926297271,0.111882264035979,0.419672581296849,0.0589962026450835,0.0406844596494469,0.51935324359138
